server_lr,client_lr,server_wd,client_wd,epoch,num_client,client_in,client_hgc,client_out,client_dropout,server_hgc,server_out,server_dropout,time_out,time_lg,seed,time,device,ACC,AUC,SEN,SPE,F1
5.00E-04,0.0005,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_22_21_51_12,cuda,71.04651163,74.44697758,79.41327723,61.26898734,74.49006618
5.00E-04,0.0006,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_22_22_16_34,cuda,71.27906977,74.0557093,80.48620851,60.50632911,74.84456127
5.00E-04,0.0007,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_22_22_41_25,cuda,71.97674419,76.12042867,81.59887798,60.7943038,75.68522899
5.00E-04,0.0008,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_22_23_06_47,cuda,71.51162791,76.02527189,76.80691912,65.28164557,73.9696432
5.00E-04,0.0009,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_22_23_31_52,cuda,72.09302326,76.53119711,79.40392707,63.51898734,75.14344708
5.00E-04,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_22_23_57_04,cuda,72.44186047,76.31040805,78.31463301,65.52531646,75.10315607
0.0006,0.0005,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_00_21_32,cuda,71.27906977,74.67393265,80.49322113,60.51582278,74.8845861
0.0006,0.0006,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_00_46_06,cuda,71.74418605,75.04259595,75.72697522,67.04746835,74.05749285
0.0006,0.0007,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_01_11_21,cuda,72.44186047,75.17183311,80.2688172,63.26582278,75.54827869
0.0006,0.0008,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_01_36_25,cuda,72.09302326,76.92910261,79.20523609,63.7943038,75.17407969
