server_lr,client_lr,server_wd,client_wd,epoch,num_client,client_in,client_hgc,client_out,client_dropout,server_hgc,server_out,server_dropout,time_out,time_lg,seed,time,device,ACC,AUC,SEN,SPE,F1
0.0001,0.0001,0.0001,0.0001,150,4,512,128,5,0.5,32,2,0.5,64,2,1000,23_06_15_13_14_34,cuda,58.48837209,59.67159326,98.04815334,12.55696203,71.78376534
0.0001,0.0001,0.0001,0.0001,150,4,512,128,5,0.5,64,2,0.5,64,2,1000,23_06_15_13_46_37,cuda,58.13953488,61.09965174,97.39130435,12.50949367,71.50608943
0.0001,0.0001,0.0001,0.0001,150,4,512,128,5,0.5,96,2,0.5,64,2,1000,23_06_15_14_18_10,cuda,60,59.95457496,82.61804582,33.53164557,68.87576469
0.0001,0.0001,0.0001,0.0001,150,4,512,128,5,0.5,128,2,0.5,64,2,1000,23_06_15_14_49_36,cuda,66.04651163,68.26609427,78.79149135,51.25316456,71.42168582
0.0001,0.0001,0.0001,0.0001,150,4,512,128,5,0.5,160,2,0.5,64,2,1000,23_06_15_15_20_09,cuda,65.69767442,69.34199684,82.66245909,45.90506329,72.2195194
0.0001,0.0001,0.0001,0.0001,150,4,512,128,5,0.5,192,2,0.5,64,2,1000,23_06_15_15_51_15,cuda,68.25581395,71.95842247,76.81626928,58.24367089,72.20703529
0.0001,0.0001,0.0001,0.0001,150,4,512,128,5,0.5,224,2,0.5,64,2,1000,23_06_15_16_21_36,cuda,68.95348837,70.46661588,75.98176718,60.78481013,72.43807994
0.0001,0.0001,0.0001,0.0001,150,4,512,128,5,0.5,256,2,0.5,64,2,1000,23_06_15_16_52_54,cuda,69.06976744,71.71085414,76.39784946,60.50316456,72.64806042
0.0001,0.0001,0.0001,0.0001,150,4,512,128,6,0.5,32,2,0.5,64,2,1000,23_06_15_17_24_09,cuda,55.34883721,53.11786921,99.34782609,4.275316456,70.51821603
0.0001,0.0001,0.0001,0.0001,150,4,512,128,6,0.5,64,2,0.5,64,2,1000,23_06_15_17_56_07,cuda,56.39534884,52.50200568,97.20430108,9.098101266,70.60465595
0.0001,0.0001,0.0001,0.0001,150,4,512,128,6,0.5,96,2,0.5,64,2,1000,23_06_15_18_28_10,cuda,63.48837209,64.12842993,83.49929874,40.09493671,71.04372697
0.0001,0.0001,0.0001,0.0001,150,4,512,128,6,0.5,128,2,0.5,64,2,1000,23_06_15_18_59_35,cuda,63.02325581,68.32585968,83.76811594,38.98417722,70.83001762
0.0001,0.0001,0.0001,0.0001,150,4,512,128,6,0.5,160,2,0.5,64,2,1000,23_06_15_19_31_36,cuda,67.44186047,70.80844185,77.24403927,55.9778481,71.79489057
0.0001,0.0001,0.0001,0.0001,150,4,512,128,6,0.5,192,2,0.5,64,2,1000,23_06_15_20_03_08,cuda,66.04651163,70.13734754,73.17204301,57.80063291,69.52563762
0.0001,0.0001,0.0001,0.0001,150,4,512,128,6,0.5,224,2,0.5,64,2,1000,23_06_15_20_35_52,cuda,67.6744186,71.34864256,74.02057036,60.26898734,71.05296556
0.0001,0.0001,0.0001,0.0001,150,4,512,128,6,0.5,256,2,0.5,64,2,1000,23_06_15_21_15_49,cuda,68.72093023,71.51554058,74.89013558,61.53481013,71.88591695
0.0001,0.0001,0.0001,0.0001,150,4,512,128,7,0.5,32,2,0.5,64,2,1000,23_06_15_21_56_08,cuda,55.34883721,52.37109738,98.47826087,5.25,70.33537846
0.0001,0.0001,0.0001,0.0001,150,4,512,128,7,0.5,64,2,0.5,64,2,1000,23_06_15_22_35_29,cuda,59.06976744,64.50537449,93.94109397,18.61708861,71.23808115
0.0001,0.0001,0.0001,0.0001,150,4,512,128,7,0.5,96,2,0.5,64,2,1000,23_06_15_23_16_01,cuda,66.1627907,70.07669945,70.79943899,60.7943038,69.09170814
0.0001,0.0001,0.0001,0.0001,150,4,512,128,7,0.5,128,2,0.5,64,2,1000,23_06_15_23_57_38,cuda,62.55813953,65.55648046,80.31790556,41.94303797,69.47682159
0.0001,0.0001,0.0001,0.0001,150,4,512,128,7,0.5,160,2,0.5,64,2,1000,23_06_16_00_37_44,cuda,65.46511628,69.85560266,80.08648901,48.43987342,71.3931529
0.0001,0.0001,0.0001,0.0001,150,4,512,128,7,0.5,192,2,0.5,64,2,1000,23_06_16_01_17_37,cuda,68.37209302,72.17475079,71.61524077,64.51582278,70.64972136
0.0001,0.0001,0.0001,0.0001,150,4,512,128,7,0.5,224,2,0.5,64,2,1000,23_06_16_01_58_27,cuda,69.06976744,72.16098112,74.24964937,63.05063291,71.98898164
0.0001,0.0001,0.0001,0.0001,150,4,512,128,7,0.5,256,2,0.5,64,2,1000,23_06_16_02_38_56,cuda,69.18604651,72.54850545,73.60215054,64.0443038,71.91011032
0.0001,0.0001,0.0001,0.0001,150,4,512,128,8,0.5,32,2,0.5,64,2,1000,23_06_16_03_19_47,cuda,57.6744186,58.5731445,90.26647966,19.85759494,69.56082207
0.0001,0.0001,0.0001,0.0001,150,4,512,128,8,0.5,64,2,0.5,64,2,1000,23_06_16_04_00_31,cuda,61.51162791,63.77931802,82.91257597,36.65189873,69.50198762
0.0001,0.0001,0.0001,0.0001,150,4,512,128,8,0.5,96,2,0.5,64,2,1000,23_06_16_04_41_18,cuda,63.25581395,66.2242251,84.17484806,38.88924051,71.16400329
0.0001,0.0001,0.0001,0.0001,150,4,512,128,8,0.5,128,2,0.5,64,2,1000,23_06_16_05_22_01,cuda,67.90697674,70.666395,77.68115942,56.46202532,72.14066669
0.0001,0.0001,0.0001,0.0001,150,4,512,128,8,0.5,160,2,0.5,64,2,1000,23_06_16_06_03_08,cuda,68.60465116,72.05061904,79.63300608,55.7278481,73.16074609
0.0001,0.0001,0.0001,0.0001,150,4,512,128,8,0.5,192,2,0.5,64,2,1000,23_06_16_06_43_18,cuda,67.55813953,71.45618831,76.78821879,56.71202532,71.52117903
0.0001,0.0001,0.0001,0.0001,150,4,512,128,8,0.5,224,2,0.5,64,2,1000,23_06_16_07_23_39,cuda,67.20930233,70.73933386,64.92753623,69.81962025,67.9102318
0.0001,0.0001,0.0001,0.0001,150,4,512,128,8,0.5,256,2,0.5,64,2,1000,23_06_16_08_04_28,cuda,69.06976744,72.17834365,74.21926134,63.0221519,72.02580727
0.0001,0.0001,0.0001,0.0001,150,4,512,128,9,0.5,32,2,0.5,64,2,1000,23_06_16_08_44_50,cuda,57.90697674,55.8350863,91.34642356,19.12025316,70.03759637
0.0001,0.0001,0.0001,0.0001,150,4,512,128,9,0.5,64,2,0.5,64,2,1000,23_06_16_09_23_32,cuda,60.58139535,62.72061763,84.85741,32.38291139,69.5027585
0.0001,0.0001,0.0001,0.0001,150,4,512,128,9,0.5,96,2,0.5,64,2,1000,23_06_16_10_03_23,cuda,62.20930233,67.4863252,88.74240299,31.38924051,71.81074741
0.0001,0.0001,0.0001,0.0001,150,4,512,128,9,0.5,128,2,0.5,64,2,1000,23_06_16_10_43_10,cuda,67.20930233,72.17878156,80.72697522,51.47468354,72.43339968
0.0001,0.0001,0.0001,0.0001,150,4,512,128,9,0.5,160,2,0.5,64,2,1000,23_06_16_11_22_32,cuda,64.53488372,69.75476755,81.61524077,44.76265823,71.27525794
0.0001,0.0001,0.0001,0.0001,150,4,512,128,9,0.5,192,2,0.5,64,2,1000,23_06_16_12_02_34,cuda,68.48837209,72.30515468,73.35203366,62.75632911,71.35426082
0.0001,0.0001,0.0001,0.0001,150,4,512,128,9,0.5,224,2,0.5,64,2,1000,23_06_16_12_43_21,cuda,68.13953488,71.60944481,71.85834502,63.7943038,70.47669289
0.0001,0.0001,0.0001,0.0001,150,4,512,128,9,0.5,256,2,0.5,64,2,1000,23_06_16_13_24_05,cuda,68.8372093,71.9529544,76.1827957,60.25316456,72.34188371
0.0001,0.0001,0.0001,0.0001,150,4,512,128,10,0.5,32,2,0.5,64,2,1000,23_06_16_14_05_17,cuda,60.81395349,61.55441533,82.03599813,36.18670886,69.1230327
0.0001,0.0001,0.0001,0.0001,150,4,512,128,10,0.5,64,2,0.5,64,2,1000,23_06_16_14_45_52,cuda,62.09302326,62.0629762,88.30528284,31.63291139,71.64456757
0.0001,0.0001,0.0001,0.0001,150,4,512,128,10,0.5,96,2,0.5,64,2,1000,23_06_16_15_26_02,cuda,66.62790698,68.05616922,72.48246844,59.78797468,69.84286591
0.0001,0.0001,0.0001,0.0001,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_06_16_16_06_10,cuda,68.48837209,71.88040464,74.65871903,61.25316456,71.74647451
0.0001,0.0001,0.0001,0.0001,150,4,512,128,10,0.5,160,2,0.5,64,2,1000,23_06_16_16_45_58,cuda,69.18604651,71.30197533,78.11360449,58.74367089,72.97035659
0.0001,0.0001,0.0001,0.0001,150,4,512,128,10,0.5,192,2,0.5,64,2,1000,23_06_16_17_25_48,cuda,67.55813953,71.95335348,70.13323983,64.55696203,69.78547009
0.0001,0.0001,0.0001,0.0001,150,4,512,128,10,0.5,224,2,0.5,64,2,1000,23_06_16_18_06_12,cuda,66.97674419,70.27734128,73.599813,59.28164557,70.18443257
0.0001,0.0001,0.0001,0.0001,150,4,512,128,10,0.5,256,2,0.5,64,2,1000,23_06_16_18_45_14,cuda,68.60465116,71.97071324,73.79850397,62.52848101,71.46318225
0.0001,0.0001,0.0001,0.0001,150,4,512,128,11,0.5,32,2,0.5,64,2,1000,23_06_16_19_24_43,cuda,55.93023256,59.44745304,99.13043478,5.794303797,70.75669192
0.0001,0.0001,0.0001,0.0001,150,4,512,128,11,0.5,64,2,0.5,64,2,1000,23_06_16_20_04_30,cuda,62.79069767,67.08333666,87.84946237,33.59810127,71.73786752
0.0001,0.0001,0.0001,0.0001,150,4,512,128,11,0.5,96,2,0.5,64,2,1000,23_06_16_20_45_05,cuda,63.72093023,67.32569139,83.56942496,40.75632911,71.13950596
