server_lr,client_lr,server_wd,client_wd,epoch,num_client,client_in,client_hgc,client_out,client_dropout,server_hgc,server_out,server_dropout,time_out,time_lg,seed,time,device,ACC,AUC,SEN,SPE,F1
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_19_12_39,cuda,73.02325581,76.04748944,84.20056101,60.05063291,76.98124182
0.001,0.001,0.0005,0.0006,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_19_34_16,cuda,72.6744186,75.69785268,82.45441795,61.28797468,76.33345207
0.001,0.001,0.0005,0.0007,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_19_55_52,cuda,72.09302326,75.66281749,80.72931276,62.0443038,75.54423311
0.001,0.001,0.0005,0.0008,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_20_17_00,cuda,72.6744186,75.99060453,82.23468911,61.53164557,76.3231347
0.001,0.001,0.0005,0.0009,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_20_38_32,cuda,72.79069767,76.07332629,80.0631136,64.28797468,75.82924056
0.001,0.001,0.0005,0.001,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_20_59_29,cuda,72.44186047,75.95587022,84.83870968,58.0221519,76.75104813
0.001,0.001,0.0006,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_21_21_02,cuda,72.90697674,75.83639877,84.40158953,59.52531646,76.97130371
0.001,0.001,0.0006,0.0006,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_21_42_23,cuda,72.3255814,75.62851593,81.17344554,62.05696203,75.86740254
0.001,0.001,0.0006,0.0007,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_22_03_54,cuda,72.44186047,75.06458751,81.80691912,61.54746835,76.02052507
0.001,0.001,0.0006,0.0008,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_22_25_16,cuda,72.55813953,75.83420066,82.68349696,60.79746835,76.36297306
0.001,0.001,0.0006,0.0009,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_22_46_28,cuda,72.6744186,75.74178532,81.17344554,62.82278481,76.03606277
0.001,0.001,0.0006,0.001,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_23_08_06,cuda,72.3255814,75.85963363,80.93034128,62.27848101,75.76020246
0.001,0.001,0.0007,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_23_29_45,cuda,72.44186047,75.92249905,83.32398317,59.78481013,76.41851005
0.001,0.001,0.0007,0.0006,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_20_23_50_03,cuda,72.79069767,76.49943503,80.50023375,63.78797468,75.99637517
0.001,0.001,0.0007,0.0007,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_00_10_46,cuda,72.55813953,75.46578018,79.01823282,65.08544304,75.41520595
0.001,0.001,0.0007,0.0008,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_00_31_51,cuda,72.79069767,76.56232931,81.36979897,62.78481013,76.1764014
0.001,0.001,0.0007,0.0009,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_00_52_47,cuda,72.44186047,76.00268133,84.19354839,58.78164557,76.62663783
0.001,0.001,0.0007,0.001,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_01_13_52,cuda,72.90697674,75.83421028,82.90088827,61.29746835,76.58518489
0.001,0.001,0.0008,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_01_34_41,cuda,72.55813953,75.91420263,84.19354839,59.03481013,76.6813784
0.001,0.001,0.0008,0.0006,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_01_56_01,cuda,72.79069767,75.58265204,85.05610098,58.52848101,77.00383926
0.001,0.001,0.0008,0.0007,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_02_16_45,cuda,72.55813953,75.41520792,79.86676017,64.06012658,75.63994614
0.001,0.001,0.0008,0.0008,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_02_37_23,cuda,72.79069767,76.05429494,83.53903693,60.28164557,76.66366652
0.001,0.001,0.0008,0.0009,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_02_51_20,cuda,73.02325581,75.61097309,83.7657784,60.5443038,76.86956964
0.001,0.001,0.0008,0.001,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_03_05_30,cuda,72.09302326,75.37754189,81.17110799,61.55696203,75.60693244
0.001,0.001,0.0009,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_03_19_15,cuda,72.44186047,74.85621664,83.12061711,60.0443038,76.38852139
0.001,0.001,0.0009,0.0006,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_03_33_05,cuda,72.90697674,76.72980949,80.29219261,64.30063291,76.00043228
0.001,0.001,0.0009,0.0007,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_03_46_44,cuda,72.79069767,75.78895982,82.23235157,61.77848101,76.34093169
0.001,0.001,0.0009,0.0008,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_04_00_32,cuda,72.55813953,75.56105235,78.79149135,65.32594937,75.40907482
0.001,0.001,0.0009,0.0009,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_04_14_05,cuda,72.90697674,75.73073545,82.68349696,61.55063291,76.5070241
0.001,0.001,0.0009,0.001,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_04_27_57,cuda,72.44186047,75.70604572,83.77279102,59.30379747,76.49799742
0.001,0.001,0.001,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_04_41_51,cuda,72.6744186,75.74417094,83.96914446,59.52531646,76.71103375
0.001,0.001,0.001,0.0006,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_04_55_17,cuda,72.6744186,76.20369135,80.07480131,64.05379747,75.80380815
0.001,0.001,0.001,0.0007,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_05_08_46,cuda,73.02325581,76.626188,81.36512389,63.28481013,76.34956996
0.001,0.001,0.001,0.0008,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_05_22_34,cuda,72.55813953,75.71458496,81.8115942,61.79746835,76.06213732
0.001,0.001,0.001,0.0009,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_05_36_14,cuda,72.44186047,75.68714179,83.32398317,59.77848101,76.44580675
0.001,0.001,0.001,0.001,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_21_05_50_14,cuda,72.90697674,75.69120104,81.80458158,62.54113924,76.33453041
