server_lr,client_lr,server_wd,client_wd,epoch,num_client,client_in,client_hgc,client_out,client_dropout,server_hgc,server_out,server_dropout,server_iter,time_out,time_lg,seed,time,device,ACC,AUC,SEN,SPE,F1
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_13_10_37,cuda,70.38961039,71.47808573,58.30200501,77.41426467,57.98938334
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_13_23_04,cuda,72.33766234,72.74374198,55.55764411,82.16074058,58.93654694
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_13_35_07,cuda,71.03896104,72.52513714,59.01629073,78.03702924,59.78742853
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_13_47_48,cuda,72.07792208,72.27357132,60.10651629,79.07216495,60.05331439
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_14_05_29,cuda,73.24675325,73.05285423,62.56892231,79.47822428,62.85482585
0.001,0.001,0.0005,0.0005,150,2,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_14_27_26,cuda,71.2987013,72.15265837,54.77443609,80.91100358,57.55842268
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_14_49_46,cuda,70.8496732,72.2641976,56.16154021,79.51368434,58.10716362
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_15_10_36,cuda,71.11111111,72.61487276,61.51424015,76.82437408,60.57372632
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_15_31_44,cuda,70.8496732,71.8472287,56.1167692,79.4945736,58.07756193
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_15_53_52,cuda,70.71895425,71.3671371,59.67680565,77.22841714,59.49396773
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_16_16_05,cuda,71.37254902,72.68827281,61.81966279,77.01806754,60.93745626
0.001,0.001,0.0005,0.0005,150,3,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_16_38_21,cuda,70.98039216,72.92576469,60.74891775,77.02639561,60.39416902
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_17_00_20,cuda,71.05263158,71.41194269,61.64786967,76.64692982,60.45863432
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_17_21_31,cuda,71.05263158,72.69811144,56.97368421,79.34649123,58.31211762
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_17_43_06,cuda,71.57894737,72.53632539,60.23182957,78.32017544,59.91236822
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_18_05_12,cuda,70.92105263,72.1164991,62.72556391,75.81798246,60.84410515
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_18_27_48,cuda,71.05263158,72.35446037,57.71929825,78.94298246,59.14440472
0.001,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_18_50_27,cuda,70.78947368,71.6687195,58.79699248,77.90350877,59.17498835
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_19_14_07,cuda,70.96774194,70.87525361,58.52130326,78.21067821,58.94277062
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_19_35_44,cuda,71.87096774,71.54738849,57.8320802,80.0535972,58.93413775
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_19_57_31,cuda,70.96774194,71.25744556,57.45614035,78.82086168,58.70342606
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_20_19_45,cuda,72.38709677,72.50436698,62.38721805,78.21273964,61.82596738
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_20_42_18,cuda,70.70967742,70.56974145,58.18295739,78.0148423,58.52839952
0.001,0.001,0.0005,0.0005,150,5,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_21_05_07,cuda,70.83870968,70.50053434,58.86591479,77.80663781,58.897638
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_21_28_35,cuda,71.2,71.64043476,57.30132149,79.55271436,58.5895303
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_26_21_50_19,cuda,71.46666667,72.49375187,59.69875446,78.44379673,60.45485987
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_26_22_12_12,cuda,71.33333333,72.78783528,58.96911471,78.67056948,60.18213197
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_26_22_34_08,cuda,72.13333333,73.11943941,61.14490772,78.67933991,61.56359128
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,5,64,2,1000,23_11_26_22_56_31,cuda,71.2,72.0056065,59.08583327,78.4824456,59.48658483
0.001,0.001,0.0005,0.0005,150,6,512,128,10,0.5,128,2,0.5,6,64,2,1000,23_11_26_23_19_45,cuda,71.6,72.41636126,62.37202856,77.23711152,60.89609797
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,1,64,2,1000,23_11_26_23_43_01,cuda,71.03896104,71.57558917,55.6108453,80.09163803,56.85664149
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,2,64,2,1000,23_11_27_00_05_18,cuda,71.55844156,71.94522246,58.7814992,79.06904092,59.54101284
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,3,64,2,1000,23_11_27_00_27_17,cuda,71.03896104,72.00585941,60.13397129,77.41539102,59.77092518
0.001,0.001,0.0005,0.0005,150,7,512,128,10,0.5,128,2,0.5,4,64,2,1000,23_11_27_00_50_03,cuda,70.64935065,71.51446592,59.10685805,77.41955639,59.00385473
