server_lr,client_lr,server_wd,client_wd,epoch,num_client,client_in,client_hgc,client_out,client_dropout,server_hgc,server_out,server_dropout,time_out,time_lg,seed,time,device,ACC,AUC,SEN,SPE,F1
5.00E-04,0.0005,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_13_03_21,cuda,70.92105263,71.90840691,59.160401,77.90350877,59.38833252
5.00E-04,0.0006,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_13_23_52,cuda,70.92105263,71.68698576,60.93984962,76.86184211,60.06969337
5.00E-04,0.0007,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_13_44_15,cuda,71.31578947,71.85408835,60.58270677,77.69517544,60.15170654
5.00E-04,0.0008,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_14_05_03,cuda,71.44736842,72.57387404,59.51754386,78.52850877,59.88216052
5.00E-04,0.0009,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_14_24_52,cuda,71.97368421,72.17785624,60.5764411,78.73464912,60.94800511
5.00E-04,0.001,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_14_45_12,cuda,71.97368421,72.24483392,60.21929825,78.94517544,60.65777106
0.0006,0.0005,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_15_05_39,cuda,71.18421053,71.2946748,58.43984962,78.73684211,59.35995839
0.0006,0.0006,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_15_26_01,cuda,71.05263158,71.47479822,59.5112782,77.90131579,59.51521861
0.0006,0.0007,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_15_46_08,cuda,71.31578947,71.78565245,58.43358396,78.94298246,59.57269469
0.0006,0.0008,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_16_06_40,cuda,71.71052632,72.06244847,57.36842105,80.19517544,59.39024389
0.0006,0.0009,0.0005,0.0005,150,4,512,128,10,0.5,128,2,0.5,64,2,1000,23_11_23_16_27_17,cuda,71.44736842,72.31161065,57.38721805,79.78289474,58.84356685
